Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 04:21:47.033002,-1,8.84409,-3.47219,0.175739,0.45,-0.24115,1120
08/05/2017 04:21:48.032238,-1,8.84449,-3.47219,0.747442,0.45,-0.305323,1120
08/05/2017 04:21:49.031464,-1,8.85023,-3.47219,0.714183,0.45,-0.364624,1120
08/05/2017 04:21:50.030651,-1,8.85166,-3.47219,0.714414,0.45,-0.524047,1120
08/05/2017 04:21:51.029819,-1,8.85707,-3.47219,0.70288,0.45,-0.621858,1120
08/05/2017 04:21:52.029787,-1,8.85837,-3.6458,0.684397,0.45,-0.85946,1120
08/05/2017 04:21:53.029619,-1,8.86265,-3.47219,0.741847,0.45,-0.810454,1120
08/05/2017 04:21:54.029409,-1,8.86321,-3.47219,0.7421,0.5,-0.841214,1120
08/05/2017 04:21:55.028854,-1,8.86651,-3.47219,0.710728,0.5,-0.823646,1120
08/05/2017 04:21:56.028054,-1,8.86705,-3.6458,0.719455,0.5,-0.878791,1120
08/05/2017 04:21:57.027183,-1,8.8672,-3.47219,0.676799,0.5,-0.917878,1120
08/05/2017 04:21:58.026467,-1,8.867,-3.47219,0.679911,0.5,-1.09795,1120
08/05/2017 04:21:59.026049,-1,8.86858,-3.6458,0.733053,0.5,-1.28734,1120
08/05/2017 04:22:00.025304,-1,8.8681,-3.6458,0.743094,0.5,-1.78642,1120
08/05/2017 04:22:01.024469,-1,8.86941,-3.47219,0.704111,0.5,-2.24779,1120
08/05/2017 04:22:02.024309,-1,8.86838,-3.47219,0.714721,0.5,-3.77664,1120
08/05/2017 04:22:03.023531,-1,8.86982,-3.47219,0.684756,0.5,-4.575,1120
08/05/2017 04:22:04.023030,-1,8.86947,-3.47219,0.746587,0.55,-9.3906,1120
08/05/2017 04:22:05.022221,-1,8.86929,-3.47219,0.244874,0.55,-10.3132,1120
08/05/2017 04:22:06.021341,-1,8.87005,-3.47219,0.241289,0.55,-20.8521,1120
08/05/2017 04:22:07.020617,-1,8.86943,-3.47219,0.696431,0.55,-44.7075,1120
08/05/2017 04:22:08.019789,-1,8.87012,-3.47219,0.67944,0.55,20.6767,1120
08/05/2017 04:22:09.019800,-1,8.86899,-3.47219,0.674073,0.55,18.6913,1120
08/05/2017 04:22:10.018990,-1,8.86893,-3.47219,0.696251,0.55,25.1761,1120
08/05/2017 04:22:11.018987,-1,8.86956,-3.47219,0.297023,0.55,17.4548,1120
08/05/2017 04:22:12.018604,-1,8.86696,-3.47219,0.734661,0.55,11.1228,1120
08/05/2017 04:22:13.018324,-1,8.86835,-3.6458,0.734661,0.55,19.4282,1120
08/05/2017 04:22:14.017468,-1,8.86771,-3.47219,0.704664,0.6,57.4025,1120
08/05/2017 04:22:15.016505,-1,8.86829,-3.47219,0.666209,0.6,171.883,1120
08/05/2017 04:22:16.015885,-1,8.86622,-3.29865,0.743862,0.6,24.7004,1120
08/05/2017 04:22:17.015102,-1,8.86622,-3.47219,0.743862,0.6,19.9067,1120
08/05/2017 04:22:18.014214,-1,8.86638,-3.6458,0.722444,0.6,12.3177,1120
08/05/2017 04:22:19.013249,-1,8.86708,-3.47219,0.702729,0.6,12.3369,1120
08/05/2017 04:22:20.012458,-1,8.86763,-3.47219,0.674469,0.6,14.7769,1120
08/05/2017 04:22:21.011546,-1,8.86698,-3.47219,0.671703,0.6,11.7208,1120
08/05/2017 04:22:22.010560,-1,8.86714,-3.47219,0.739926,0.6,8.86125,1120
08/05/2017 04:22:23.009804,-1,8.86733,-3.47219,0.729379,0.6,7.93395,1120
08/05/2017 04:22:24.008897,-1,8.86576,-3.47219,0.716317,0.65,11.9949,1120
08/05/2017 04:22:25.008082,-1,8.86587,-3.47219,0.702353,0.65,22.127,1120
08/05/2017 04:22:26.007181,-1,8.86517,-3.47219,0.686124,0.65,20.582,1120
08/05/2017 04:22:27.006585,-1,8.86528,-3.47219,0.675729,0.65,39.4952,1120
08/05/2017 04:22:28.006106,-1,8.86449,-3.47219,0.744983,0.65,52.1921,1120
08/05/2017 04:22:29.005202,-1,8.86534,-3.47219,0.734304,0.65,115.385,1120
08/05/2017 04:22:30.004385,-1,8.86568,-3.47219,0.74772,0.65,-409.126,1120
08/05/2017 04:22:31.003465,-1,8.86464,-3.29865,0.711111,0.65,153.286,1120
08/05/2017 04:22:32.002609,-1,8.86586,-3.47219,0.711083,0.65,98.6896,1120
08/05/2017 04:22:33.001661,-1,8.8655,-3.47219,0.678398,0.65,45.5422,1120
08/05/2017 04:22:34.000851,-1,8.8644,-3.47219,0.750803,0.7,48.8832,1120
08/05/2017 04:22:35.000826,-1,8.86627,-3.6458,0.72066,0.7,-77.1713,1120
08/05/2017 04:22:35.999954,-1,8.8652,-3.47219,0.355849,0.7,47.0561,1120
08/05/2017 04:22:36.999037,-1,8.86625,-3.29865,0.355849,0.7,103.626,1120
08/05/2017 04:22:37.998112,-1,8.86634,-3.47219,0.327307,0.7,47.9032,1120
08/05/2017 04:22:38.997146,-1,8.86698,-3.47219,0.66027,0.7,-47.4598,1120
08/05/2017 04:22:39.996176,-1,8.86663,-3.47219,0.768719,0.7,-16.6626,1120
08/05/2017 04:22:40.995247,-1,8.86728,-3.29865,0.699174,0.7,-19.9704,1120
08/05/2017 04:22:41.994320,-1,8.86703,-3.47219,0.702961,0.7,-13.5801,1120
08/05/2017 04:22:42.993522,-1,8.86796,-3.47219,0.704781,0.7,-9.83536,1120
08/05/2017 04:22:43.992632,-1,8.86799,-3.47219,0.323686,0.75,-7.15944,1120
08/05/2017 04:22:44.992555,-1,8.8694,-3.47219,0.320957,0.75,-5.68206,1120
08/05/2017 04:22:45.991624,-1,8.87168,-3.47219,0.675913,0.75,-5.85051,1120
08/05/2017 04:22:46.990730,-1,8.87553,-3.29865,0.704354,0.75,-3.32911,1120
08/05/2017 04:22:47.989751,-1,8.87686,-3.6458,0.71917,0.75,-2.54226,1120
08/05/2017 04:22:48.988870,-1,8.8815,-3.47219,0.689072,0.75,-1.6629,1120
