Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 01:21:14.535249,-1,10.8467,-3.47219,0.782904,0.4,-0.0753497,1120
08/05/2017 01:21:15.534461,-1,10.8649,-3.29865,0.732254,0.4,-0.08611,1120
08/05/2017 01:21:16.533699,-1,10.8777,-3.47219,0.795258,0.4,-0.100361,1120
08/05/2017 01:21:17.532745,-1,10.8971,-3.6458,0.767319,0.4,-0.117408,1120
08/05/2017 01:21:18.531994,-1,10.9074,-3.6458,0.778395,0.4,-0.139372,1120
08/05/2017 01:21:19.531177,-1,10.9253,-3.47219,0.753232,0.4,-0.164086,1120
08/05/2017 01:21:20.530348,-1,10.9382,-3.6458,0.806758,0.45,-0.18266,1120
08/05/2017 01:21:21.529982,-1,10.9585,-3.6458,0.765452,0.45,-0.184157,1120
08/05/2017 01:21:22.529034,-1,10.9607,-3.6458,0.787656,0.45,-0.19326,1120
08/05/2017 01:21:23.528729,-1,10.9649,-3.81947,0.762129,0.45,-0.209322,1120
08/05/2017 01:21:24.527770,-1,10.9656,-3.6458,0.614765,0.45,-0.236492,1120
08/05/2017 01:21:25.526892,-1,10.971,-3.47219,0.765326,0.45,-0.2794,1120
08/05/2017 01:21:26.526045,-1,10.9736,-3.47219,0.760699,0.45,-0.342735,1120
08/05/2017 01:21:27.525228,-1,10.9781,-3.6458,0.729881,0.45,-0.423258,1120
08/05/2017 01:21:28.525003,-1,10.9803,-3.6458,0.728707,0.45,-0.554663,1120
08/05/2017 01:21:29.524083,-1,10.9847,-3.47219,0.769049,0.45,-0.736766,1120
08/05/2017 01:21:30.523172,-1,10.9863,-3.47219,0.785716,0.5,-0.894786,1120
08/05/2017 01:21:31.522381,-1,10.9899,-3.47219,0.761529,0.5,-0.890816,1120
08/05/2017 01:21:32.521452,-1,10.9901,-3.6458,0.737866,0.5,-0.946017,1120
08/05/2017 01:21:33.520477,-1,10.9904,-3.6458,0.791012,0.5,-1.06754,1120
08/05/2017 01:21:34.519536,-1,10.9896,-3.6458,0.804745,0.5,-1.28142,1120
08/05/2017 01:21:35.519540,-1,10.9908,-3.47219,0.753967,0.5,-1.63412,1120
08/05/2017 01:21:36.518729,-1,10.9919,-3.47219,0.738066,0.5,-2.21927,1120
08/05/2017 01:21:37.517915,-1,10.9927,-3.47219,0.79344,0.5,-3.04319,1120
08/05/2017 01:21:38.517016,-1,10.992,-3.47219,0.783412,0.5,-4.87317,1120
08/05/2017 01:21:39.516258,-1,10.9935,-3.6458,0.778082,0.5,-9.29848,1120
08/05/2017 01:21:40.515315,-1,10.9923,-3.6458,0.403557,0.55,-34.0716,1120
08/05/2017 01:21:41.514518,-1,10.993,-3.47219,0.721193,0.55,-25.2017,1120
08/05/2017 01:21:42.513647,-1,10.992,-3.47219,0.736414,0.55,-37.9316,1120
08/05/2017 01:21:43.512746,-1,10.9926,-3.6458,0.486536,0.55,70.7667,1120
08/05/2017 01:21:44.511751,-1,10.9923,-3.6458,0.510505,0.55,26.5192,1120
08/05/2017 01:21:45.510901,-1,10.9927,-3.6458,0.737236,0.55,19.6767,1120
08/05/2017 01:21:46.510126,-1,10.9924,-3.47219,0.774878,0.55,13.013,1120
08/05/2017 01:21:47.509316,-1,10.9914,-3.6458,0.788914,0.55,13.8205,1120
08/05/2017 01:21:48.508430,-1,10.9925,-3.47219,0.802384,0.55,18.8033,1120
08/05/2017 01:21:49.508101,-1,10.9904,-3.6458,0.78354,0.55,19.7318,1120
08/05/2017 01:21:50.507176,-1,10.9918,-3.6458,0.768828,0.6,17.6731,1120
08/05/2017 01:21:51.506251,-1,10.9912,-3.47219,0.793059,0.6,19.3475,1120
08/05/2017 01:21:52.505302,-1,10.9918,-3.47219,0.812625,0.6,16.0882,1120
08/05/2017 01:21:53.504523,-1,10.9921,-3.6458,0.788629,0.6,17.9352,1120
08/05/2017 01:21:54.503708,-1,10.9902,-3.6458,0.794964,0.6,17.4805,1120
08/05/2017 01:21:55.503710,-1,10.99,-3.6458,0.814258,0.6,20.4433,1120
08/05/2017 01:21:56.503630,-1,10.9897,-3.47219,0.816715,0.6,15.9234,1120
08/05/2017 01:21:57.502763,-1,10.9913,-3.29865,0.522102,0.6,17.1768,1120
08/05/2017 01:21:58.501858,-1,10.9906,-3.47219,0.791634,0.6,25.0003,1120
08/05/2017 01:21:59.500947,-1,10.9902,-3.47219,0.768258,0.6,17.0646,1120
08/05/2017 01:22:00.500139,-1,10.99,-3.47219,0.811473,0.65,15.1869,1120
08/05/2017 01:22:01.499185,-1,10.9883,-3.47219,0.801811,0.65,14.4196,1120
08/05/2017 01:22:02.498349,-1,10.9885,-3.47219,0.799029,0.65,13.0885,1120
08/05/2017 01:22:03.497398,-1,10.9882,-3.6458,0.793001,0.65,14.7637,1120
08/05/2017 01:22:04.496937,-1,10.9883,-3.6458,0.823192,0.65,14.3331,1120
08/05/2017 01:22:05.496309,-1,10.9875,-3.81947,0.800868,0.65,13.2842,1120
08/05/2017 01:22:06.496301,-1,10.9885,-3.6458,0.379074,0.65,12.0502,1120
08/05/2017 01:22:07.495387,-1,10.9881,-3.29865,0.796614,0.65,11.8618,1120
08/05/2017 01:22:08.494474,-1,10.9861,-3.47219,0.823466,0.65,13.8734,1120
08/05/2017 01:22:09.493702,-1,10.9864,-3.47219,0.41327,0.65,12.8313,1120
08/05/2017 01:22:10.492745,-1,10.9862,-3.6458,0.459716,0.7,11.9028,1120
08/05/2017 01:22:11.491832,-1,10.9851,-3.6458,0.568062,0.7,12.9477,1120
08/05/2017 01:22:12.490921,-1,10.9851,-3.6458,0.820383,0.7,16.7032,1120
08/05/2017 01:22:13.490003,-1,10.9859,-3.47219,0.788475,0.7,27.9265,1120
08/05/2017 01:22:14.489114,-1,10.9855,-3.6458,0.603378,0.7,78.6915,1120
08/05/2017 01:22:15.488197,-1,10.9868,-3.81947,0.766764,0.7,-125.931,1120
08/05/2017 01:22:16.487413,-1,10.9877,-3.6458,0.777691,0.7,-27.8976,1120
08/05/2017 01:22:17.486956,-1,10.9879,-3.47219,0.796586,0.7,-19.2008,1120
08/05/2017 01:22:18.485983,-1,10.9879,-3.47219,0.811213,0.7,-16.9053,1120
08/05/2017 01:22:19.485102,-1,10.9894,-3.47219,0.777538,0.7,-15.6202,1120
08/05/2017 01:22:20.484272,-1,10.9883,-3.6458,0.777876,0.75,-16.0182,1120
08/05/2017 01:22:21.483352,-1,10.9881,-3.47219,0.808727,0.75,-21.7228,1120
08/05/2017 01:22:22.482574,-1,10.9907,-3.47219,0.806233,0.75,-11.213,1120
08/05/2017 01:22:23.482525,-1,10.9918,-3.6458,0.783327,0.75,-6.75251,1120
08/05/2017 01:22:24.481628,-1,10.9944,-3.47219,0.785208,0.75,-4.65367,1120
08/05/2017 01:22:25.480701,-1,10.9961,-3.6458,0.756999,0.75,-3.44202,1120
08/05/2017 01:22:26.479742,-1,10.9986,-3.6458,0.803431,0.75,-2.5334,1120
08/05/2017 01:22:27.478838,-1,11.0012,-3.47219,0.794684,0.75,-1.91587,1120
08/05/2017 01:22:28.478008,-1,11.003,-3.47219,0.794579,0.75,-1.67254,1120
08/05/2017 01:22:29.477061,-1,11.0061,-3.47219,0.756427,0.75,-1.50978,1120
08/05/2017 01:22:30.476149,-1,11.0094,-3.47219,0.816557,0.8,-1.41748,1120
08/05/2017 01:22:31.475259,-1,11.01,-3.6458,0.803029,0.8,-1.42799,1120
08/05/2017 01:22:32.474469,-1,11.0183,-3.6458,0.791781,0.8,-1.24359,1120
08/05/2017 01:22:33.473548,-1,11.023,-3.47219,0.764001,0.8,-1.05612,1120
08/05/2017 01:22:34.473455,-1,11.0319,-3.47219,0.770373,0.8,-0.867454,1120
08/05/2017 01:22:35.472467,-1,11.036,-3.6458,0.811982,0.8,-0.725001,1120
08/05/2017 01:22:36.471669,-1,11.0454,-3.47219,0.790049,0.8,-0.61577,1120
08/05/2017 01:22:37.470781,-1,11.0496,-3.6458,0.768276,0.8,-0.524945,1120
08/05/2017 01:22:38.469937,-1,11.0599,-3.47219,0.777211,0.8,-0.465077,1120
08/05/2017 01:22:39.469024,-1,11.065,-3.47219,0.798867,0.8,-0.430775,1120
08/05/2017 01:22:40.468734,-1,11.0749,-3.47219,0.792952,0.85,-0.413029,1120
08/05/2017 01:22:41.467777,-1,11.0789,-3.6458,0.777323,0.85,-0.413267,1120
08/05/2017 01:22:42.467397,-1,11.0948,-3.6458,0.777704,0.85,-0.39779,1120
08/05/2017 01:22:43.466594,-1,11.1013,-3.6458,0.742763,0.85,-0.376475,1120
08/05/2017 01:22:44.466525,-1,11.1196,-3.47219,0.803542,0.85,-0.349184,1120
08/05/2017 01:22:45.465997,-1,11.1256,-3.6458,0.772358,0.85,-0.320761,1120
08/05/2017 01:22:46.465402,-1,11.1437,-3.6458,0.77695,0.85,-0.294135,1120
08/05/2017 01:22:47.464514,-1,11.1508,-3.6458,0.7845,0.85,-0.272572,1120
08/05/2017 01:22:48.463592,-1,11.1689,-3.47219,0.818379,0.85,-0.254857,1120
08/05/2017 01:22:49.462638,-1,11.1756,-3.6458,0.750801,0.85,-0.242645,1120
08/05/2017 01:22:50.461743,-1,11.1942,-3.47219,0.795504,0.9,-0.237104,1120
08/05/2017 01:22:51.460916,-1,11.1998,-3.47219,0.761288,0.9,-0.236669,1120
08/05/2017 01:22:52.460094,-1,11.2261,-3.6458,0.820745,0.9,-0.231363,1120
08/05/2017 01:22:53.459383,-1,11.234,-3.6458,0.764196,0.9,-0.222879,1120
08/05/2017 01:22:54.458546,-1,11.2618,-3.6458,0.762049,0.9,-0.213407,1120
08/05/2017 01:22:55.457732,-1,11.2706,-3.6458,0.757494,0.9,-0.202236,1120
08/05/2017 01:22:56.456844,-1,11.2981,-3.6458,0.741979,0.9,-0.19139,1120
08/05/2017 01:22:57.456210,-1,11.3064,-3.47219,0.765656,0.9,-0.181904,1120
08/05/2017 01:22:58.455434,-1,11.3331,-3.6458,0.776674,0.9,-0.175199,1120
08/05/2017 01:22:59.455050,-1,11.3408,-3.29865,0.74127,0.9,-0.170514,1120
08/05/2017 01:23:00.454299,-1,11.3687,-3.47219,0.750196,0.95,-0.168479,1120
08/05/2017 01:23:01.453368,-1,11.3764,-3.47219,0.752462,0.95,-0.16864,1120
08/05/2017 01:23:02.452430,-1,11.4139,-3.6458,0.775607,0.95,-0.165836,1120
08/05/2017 01:23:03.451502,-1,11.423,-3.6458,0.731688,0.95,-0.160842,1120
08/05/2017 01:23:04.450583,-1,11.4644,-3.47219,0.755631,0.95,-0.15437,1120
08/05/2017 01:23:05.450576,-1,11.4745,-3.47219,0.767518,0.95,-0.146693,1120
08/05/2017 01:23:06.449701,-1,11.5138,-3.47219,0.780802,0.95,-0.13923,1120
08/05/2017 01:23:07.448807,-1,11.5221,-3.6458,0.753692,0.95,-0.132752,1120
08/05/2017 01:23:08.447885,-1,11.5643,-3.6458,0.763975,0.95,-0.127501,1120
08/05/2017 01:23:09.447900,16.4843,11.5741,-3.6458,0.767955,0.95,-0.123373,1120
08/05/2017 01:23:10.446880,16.4843,11.6138,-3.47219,0.78441,1,-0.121061,1120
08/05/2017 01:23:13.444130,23.8662,11.6991,-3.6458,0.777966,1,-0.111863,1120
08/05/2017 01:23:14.443202,23.8662,11.7644,-3.6458,0.792049,1,-0.105498,1120
08/05/2017 01:23:15.442335,25.4065,11.7768,-3.6458,0.749996,1,-0.0990032,1120
08/05/2017 01:23:16.441317,25.4065,11.8411,-3.47219,0.423349,1,-0.0930391,1120
08/05/2017 01:23:17.440409,25.5006,11.8523,-3.6458,0.739819,1,-0.0883057,1120
08/05/2017 01:23:18.440310,25.5006,11.8877,-3.47219,0.808428,1,-0.0868304,1120
08/05/2017 01:23:21.437647,25.2311,11.9673,-3.6458,0.731348,1.05,-0.092396,1120
08/05/2017 01:23:22.436779,25.2311,12.0756,-3.47219,0.520093,1.05,-0.0905232,1120
08/05/2017 01:23:23.435834,40.343,12.0922,-3.6458,0.776126,1.05,-0.0851618,1120
08/05/2017 01:23:24.434898,40.343,12.206,-3.6458,0.796172,1.05,-0.0776649,1120
08/05/2017 01:23:25.433995,41.7988,12.2232,-3.47219,0.780809,1.05,-0.0697079,1120
08/05/2017 01:23:26.433017,41.7988,12.3385,-3.47219,0.778477,1.05,-0.0624178,1120
08/05/2017 01:23:27.432149,41.8041,12.3526,-3.47219,0.7694,1.05,-0.0562219,1120
08/05/2017 01:23:28.431421,41.8041,12.4644,-3.47219,0.773803,1.05,-0.0523107,1120
08/05/2017 01:23:29.430511,41.6784,12.4777,-3.47219,0.747167,1.05,-0.0503327,1120
08/05/2017 01:23:30.429792,41.6784,12.5982,-3.47219,0.74858,1.1,-0.0493229,1120
